Municipality,August,September,October,November,December,"January, 2019"
Santa Fe,167.91,187.52,248.31,313.4,363.5,389.16
Tabango,202.96,249.76,295.56,304.1,376.24,309.38
Tabontabon,196.45,208.39,276.61,373.29,440.68,414.33
Tacloban City,183.47,202.47,270.05,326.34,408.19,399.38
Tanauan,174.86,195.74,263.65,358.57,427.53,406.16
Tolosa,166.67,194.28,265.86,384.59,464.68,419.4
Tunga,229.7,243.04,320.44,346.44,416.82,376.37
Villaba,210.41,246.65,291.09,299.09,366.59,299.58
Maguindanao,212.76,219.72,241.14,177.39,125.59,102.19
Ampatuan,219.64,233.84,276.43,199.23,135.07,103.18
Buluan,267.45,190.4,166.19,141.29,113.45,96.5
Buluan Lake,256.65,187.87,165.81,151.84,131.77,94.87
Cotabato City,238.46,261.4,282.33,189.62,130.43,101.4
Datu Abdullah Sanki,202.98,214.58,238.08,160.84,103.86,97.29
Datu Anggal Midtimbang,192.6,220.65,267.99,196.11,118.82,100.59
Datu Paglas,233.07,218.49,206.09,158.18,122.47,110.47
Datu Piang,177.13,205.69,244.83,198.24,143.88,100.97
Datu Saudi-Ampatuan,193.86,217.18,255.65,190.61,137.11,99.97
Datu Unsay,219.17,236.15,286.14,199.29,129.52,101.57
Gen. S. K. Pendatun,230.98,203.18,193.69,132.06,100.48,99.4
Guindulungan,211.36,230.33,284.41,197.31,123.26,101.55
Mamasapano,185.43,211.39,236.38,175.72,128.29,99.24
Mangudadatu,254.92,188.46,166.06,160.87,142.23,96.47
Pagagawan,168.57,209.57,202.17,134.7,123.82,111.12
Pagalungan,189.79,206.53,205.62,166,135.8,106.21
Paglat,237.95,201.2,186.96,133.24,99.72,100.11
Pandag,261.42,196.51,176.4,114.95,88.3,97.56
Rajah Buayan,189.2,208.89,226.08,164.39,129.73,100.41
Shariff Aguak,202.18,222.98,263.47,184.55,114.88,98.49
South Upi,233.24,249.94,297.31,224.16,136.99,107.44
Sultan Sa Barongis,196.28,207.58,213.91,170.81,129.81,100.33
Talayan,207.56,229.42,283.14,196.03,120.53,101.42
Talitay,191.12,217.84,262.34,185.78,113.71,99.91
Marinduque,182.45,230.84,316.07,262.1,250.14,96.5
Boac,191.88,213.86,322.41,272.42,251.75,94.98
Buenavista,188.11,254.26,319.06,241.64,237.56,87.45
Gasan,192.96,227.85,310.74,271.62,253.09,88.38
Mogpog,160.72,214.22,307.25,285.29,259.65,93.23
Santa Cruz,169.36,230.85,308.93,268.31,261.47,104.16
Torrijos,190.91,244.53,324.37,239.15,236.02,99.86
Masbate,210.25,255.8,276.03,252.97,271.34,192.89
Aroroy,205.05,255.35,272.99,254.08,256.13,180.81
Baleno,231.1,271.76,279.75,241.05,261.08,194.78
Balud,199.13,240.63,271.9,233.16,213.3,142.1
Batuan,200.77,254.46,282.67,295.36,328.06,244.17
Cataingan,202.75,238.67,282.04,264.7,285.18,214.78
Cawayan,200.49,239.06,266.05,242.48,263.44,187.43
Claveria,190.87,263.78,278.23,268.82,264.24,170.85
Dimasalang,208.37,237.02,289.39,265.22,302.77,205.09
Esperanza,195.39,231.83,247.8,249.56,281.37,232.37
Mandaon,229.11,270.13,269.32,258.3,260.79,165.08
Masbate City,230.3,259.82,261.18,219.11,247.54,192.28
Milagros,235.8,269.43,265.72,232.94,262.52,177.26
Mobo,239.26,255.4,273.48,237.2,271.19,204.36
Monreal,193.69,273.23,325.25,314.74,349.89,240.43
Palanas,205.49,229.03,292.23,248.31,281.08,190.35
Pio V. Corpuz,202.29,236.27,262.09,274.52,300.67,242.61
Placer,196.49,237.46,270.89,228.64,249.82,202.41
San Fernando,192.7,254.4,283.91,271.91,309.88,238.35
San Jacinto,195.53,262.72,312.81,293,331.3,246.83
San Pascual,196.29,298.24,274.44,266.83,255.74,153.81
Uson,224.46,249.88,285.25,246.72,285.26,207.11
Metropolitan Manila,451.81,399.4,244.3,153.92,96.55,16.55
Kalookan City,512.52,426.6,256.52,175.67,100.35,20.97
Las Piñas,402.42,375.45,225.17,113.43,63.85,10.17
Makati City,423.05,385.5,234.34,108.82,67.43,13.08
Malabon,466.29,387.9,239.39,141.51,67.22,13.63
Mandaluyong,439.24,394.67,241.24,100.41,64.35,15.46
Manila,395.08,361,237.83,114.09,69.03,14.25
Marikina,489.83,423.56,265.62,123.81,110.33,24.97
Muntinlupa,404.27,394.28,235.76,208.45,152.64,16.54
Navotas,419.75,370.71,249.7,152.16,82.03,18.46
Parañaque,401.06,373.9,230.87,197.82,122.77,9.68
Pasay City,417.65,372.28,218.72,164.55,83.04,6.9
Pasig City,471.08,423.27,251.19,138.55,104.53,19.24
Pateros,462.27,427.22,246.73,210.73,152.96,17.23
Quezon City,499.2,420.19,258.74,164.64,102.4,22.42
San Juan,439.15,394.47,241.04,99.68,63.85,15.38
Taguig,428.41,401.6,239.4,199.12,137.87,14.27
Valenzuela,510.19,413.14,247.63,156.17,72.7,14.07
Misamis Occidental,242.92,231.35,283.79,354.63,307.13,214.39
Aloran,236.73,231.45,262.89,335.24,289.65,191.68
Baliangao,181.15,172.89,242.23,326.4,227.32,145.85
Bonifacio,288.97,277.6,340.4,324.15,307.81,207.67
Calamba,202.52,192.67,253.16,326.88,241.03,153.85
Clarin,249.94,238.71,298.63,411.68,380.34,318.78
Concepcion,267.12,226.9,300.49,351.79,295.49,169.51
Don Victoriano Chiongbian,304.25,264.91,316.92,359.67,339.96,198.83
Jimenez,250.06,244.62,276.44,362.3,322.12,230.24
Lopez Jaena,189.82,192.32,237.68,323.63,236.46,154.68
Oroquieta City,230.7,218.59,269.2,337.7,273.45,170.45
Ozamis City,259.82,252.51,313.86,403.91,381.41,313.11
Panaon,241.91,240.29,274.95,352.4,304.62,218.36
Plaridel,170.98,174.57,219.51,307.11,215.17,146.09
Sapang Dalaga,206.76,189.72,265.81,336.8,253.8,152.97
Sinacaban,235.26,241.63,269.65,372.69,329.51,252.73
Tangub City,271.2,267.12,321.28,344.82,332.41,243.6
Tudela,246.9,236.07,294.24,402.44,370.94,296.8
Misamis Oriental,230.73,235.35,220.55,226.53,253.73,216.88
Alubijid,223.62,256.65,200.72,152.99,138.62,125.46
Balingasag,227.64,211.44,217.54,219.43,256.8,222.37
Balingoan,188.89,175.67,200.03,252.83,320.72,276.13
Binuangan,197.52,176.63,208.77,240.54,302.99,257.17
Cagayan de Oro City,259.34,265.83,228.19,157.88,134.3,133.92
Claveria,266.06,247.4,238.14,284.02,348.08,279.86
El Salvador City,228.09,246.99,200.69,142.87,126.29,124.64
Gingoog City,209.5,212.32,233.06,341.71,415.93,334.67
Gitagum,203.65,236.25,190.44,150.32,133.42,129.6
Initao,219.02,263.86,202.34,164.12,142.41,125.84
Jasaan,230.59,222.58,215.95,192.27,211.62,197.16
Kinoguitan,181.73,170.18,202.39,243.42,302.29,271
Lagonglong,223.8,200.47,227.2,238.54,289.39,236.07
Laguindingan,199.39,229.22,187.15,154.65,126.01,130.09
Libertad,218.73,255.32,198.65,154.79,138.69,125.49
Lugait,264.13,341.71,233.45,213.28,185.18,132.71
Magsaysay,152.71,162.86,201.79,282.63,370.57,380.47
Manticao,274.19,328.23,238.8,203.13,178.81,126.16
Medina,200.96,190.35,222.86,303.95,387.05,304.53
Naawan,251.65,299.24,224.09,180.77,163.65,125.23
Opol,240.55,264.86,208.61,152.9,127.38,124.56
Salay,224.36,192.43,232.09,247.98,311.23,247.76
Sugbongcogon,206.19,181.08,218.38,244.27,306.27,255.45
Tagoloan,254.27,243.81,225.11,168.73,175.12,163.03
Talisayan,195.23,181.97,207.17,266.37,336.99,287.25
Villanueva,250.04,234.31,225.81,180.98,193.34,171.02
Mountain Province,425.2,331,246.55,201.93,95.38,25.84
Barlig,439.57,336.56,257.04,253.35,125.33,30.95
Bauko,507.33,353.05,253.3,151.87,53.39,17.23
Besao,454.37,339.41,218.75,133.47,40.31,11.22
Bontoc,420.92,338.17,232.49,173.05,72.01,18.56
Natonin,389.09,326.5,262.29,281.18,155.29,38.39
Paracelis,327.66,289.93,253.67,257.7,147.26,41.83
Sabangan,471.45,347.8,256.3,166.7,67.7,18.9
Sadanga,434.63,334.98,232.39,191.11,88.85,23.13
Sagada,417.67,342.21,220.24,135.93,42.36,12.01
Tadian,517.71,348.39,245.28,123.89,36.25,13.44
Negros Occidental,325.32,267.95,308.7,218.13,174.33,106.23
Bacolod City,328.72,270.19,293.89,277.9,229.32,115.67
Bago City,380.93,300.02,307.32,224.58,179.03,94.53
Binalbagan,334.7,308.17,299.79,184.5,139.21,83.77
Cadiz City,242.72,211.04,313.16,247.86,213.36,132.75
Calatrava,249.23,215.78,256.58,217.86,184.3,122.96
Candoni,389.26,288.83,333.32,201.13,136.75,92.48
Cauayan,394.25,309.87,331.79,202.37,138.91,86.23
Enrique B. Magalona,279.61,240.78,324.69,267.75,275.76,140.77
Escalante City,194.81,199.99,273.77,214.41,177.94,136.13
Himamaylan City,315.91,295.02,301.99,189.67,136.57,84.39
Hinigaran,402.18,349.78,324.43,193.39,135.37,77.28
Hinoba-An,416.81,268.92,349.93,199.4,141.14,95.03
Ilog,356.13,284.42,326.81,195.09,132.5,90.07
Isabela,357.39,321.77,321.7,184.89,138.54,88.62
Kabankalan City,330.57,272.81,319.87,188.43,136.82,93.18
La Carlota City,396.34,322.92,326.36,214.81,154.71,85.23
La Castellana,387.03,326.57,328.59,197.52,148.21,89.74
Manapla,213.39,205.47,324.76,252.03,230.76,139.74
Moises Padilla,333.73,298.5,308.81,184.16,133.44,95.3
Murcia,369.31,281.15,301.53,231.47,208.25,106.98
Pontevedra,407.79,345.01,335.03,201.61,136.66,76.9
Pulupandan,416.7,316.17,313.07,230.52,162.07,93.83
Sagay City,213.78,198.67,296.73,236.04,191.17,134.83
Salvador Benedicto,298.87,241.51,259.76,218.28,189.08,113.94
San Carlos City,237.92,203.6,246.74,208.26,172.84,117.4
San Enrique,392.05,341.68,334.03,214.75,116.85,72.64
Silay City,304.47,247.99,303.64,264.42,247.33,129.41
Sipalay City,420.19,295.62,337.27,213.38,145.72,88.13
Talisay City,331.78,261.04,296.73,280.8,251.57,125.18
Toboso,213.48,208.32,268.56,216.14,175.42,131.02
Valladolid,404.33,332.24,326.9,215.49,137.12,89.85
Victorias City,276.88,235.35,332.62,261.16,278.71,144.09
Negros Oriental,276.87,207.57,282.43,183.64,149.92,113.86
Amlan,247.81,159.8,244.76,172.78,153.16,134.09
Ayungon,265.86,227.95,270.97,196.19,154.34,105.15
Bacong,177.09,132.11,185.11,164.12,118.42,86.1
Bais City,273.95,207.13,285.37,182.21,149.93,124.01
Basay,403.04,251.48,357.01,190.33,149.52,101.58
Bayawan City,342.29,235.29,331.32,176.83,141.04,110.5
Bindoy,287.13,230.83,287.66,194.11,155.97,106.57
Canlaon City,289.79,248.42,273.52,188.38,150.73,106.27
Dauin,220.48,152.11,230.98,179.63,136.56,101.09
Dumaguete City,149.03,121.36,164.5,159.76,115.26,83.25
Guihulngan City,259.85,232.38,258.39,193.3,158.12,106.67
Jimalalud,274.89,240.03,273.39,198.34,159.75,102.85
La Libertad,257.19,237.3,261.91,195.23,161.77,104.38
Mabinay,300.93,237.09,311.98,182.24,142.91,107.26
Manjuyod,253.52,202.74,273.55,195.33,149.66,116.74
Pamplona,271.46,180.41,277.34,173.63,160.53,152.33
San Jose,227.12,149.97,232.61,175.83,149.88,115.27
Santa Catalina,305.05,204.28,319.81,179.89,159.77,121.69
Siaton,266.77,196.56,320.68,188.88,143.01,114.07
Sibulan,234.06,155.6,231.54,167.04,145.85,114.14
Tanjay City,272.49,191.09,273.66,175.43,156.9,138.5
Tayasan,266.03,234.69,272.23,195.5,152.62,102.96
Valencia,251.4,160.13,231.65,164.67,142.04,101.44
Vallehermoso,218.86,199.73,249.92,202.83,159.67,114.75
Zamboanguita,221,158.09,261.89,188.21,133.8,110.92
North Cotabato,224.31,257.7,252.69,194.42,170.91,134.19
Alamada,303.99,332.48,294.89,257.39,222.17,137.6
Aleosan,186.43,219.13,238.16,164.43,140.21,117.95
Antipas,224.36,270.24,260.1,182.91,170.29,149.85
Arakan,273.77,307.43,264.72,214.62,201.65,169.92
Banisilan,273.27,321.9,278.85,218.76,198.54,140.49
Carmen,211.74,258.57,244.89,182.07,156.39,133.18
Kabacan,174.83,214.52,209.46,151.7,135.65,118.65
Kidapawan City,200.7,235.27,257.47,186.31,178.57,137.44
Libungan,233.29,259.56,278.03,207.21,166.39,128.37
Magpet,243.21,250.29,256.55,230.62,207.86,138.34
Makilala,220.68,244.98,257.35,207.12,180.89,132.76
Matalam,195.33,235.64,246.09,165.79,149.65,134.13
Midsayap,170.9,196.9,238.68,189.98,155.6,111.46
M'Lang,184.85,221.43,226.46,162.93,140.68,125.87
Pigkawayan,223.63,251.33,271.06,205.8,156.22,121.38
Pikit,177.58,208.99,222.26,153.85,133.61,108.54
President Roxas,220.06,265.68,254.79,183.47,173.2,154.12
Tulunan,205.64,224.94,211.17,162.24,131.34,120.62
Northern Samar,212.61,268.63,398.13,466.91,579.56,433
Allen,207.33,261.58,374.55,432.43,514.02,357.57
Biri,171.57,257.67,350.63,426.64,520.29,373.1
Bobon,219.1,260.5,415.15,457.18,569.13,441.44
Capul,203.64,252.83,348.8,386.22,465.38,320.57
Catarman,205.39,239.48,423.2,479.75,586.05,489.13
Catubig,213.38,280.72,420.62,498.79,617.83,466.17
Gamay,215.09,268.7,363.42,473.84,561.36,445.01
Laoang,183.14,243.53,417.3,506.84,623.96,484.94
Lapinig,210.02,271.03,363.27,490.22,582.66,450.57
Las Navas,225.97,288.24,412.86,484.25,604.03,443.78
Lavezares,201.22,260.29,368.03,430.48,518.14,362.9
Lope de Vega,235.94,290.45,419.17,465.02,587.76,444.07
Mapanas,217.11,267.6,394.14,491.68,579.54,461.81
Mondragon,215.49,277.47,418.88,483.81,617.73,466.88
Palapag,203.66,248.18,408.72,502.3,602.85,471.34
Pambujan,196.16,274.14,406.91,491,643.41,469.02
Rosario,206.37,252.16,385.6,439.67,535.63,395.98
San Antonio,209.8,273.67,360.97,422.12,518.35,342.06
San Isidro,245.11,283.62,377.27,431.62,546.54,363.27
San Jose,198.39,243.64,392.58,446.67,546.59,416.45
San Roque,201.77,279.47,422.49,497.93,646.18,473.32
San Vicente,193.57,231.68,284.03,342.3,411.01,282.49
Silvino Lobos,235.02,300.39,405.33,466.41,598.14,434.09
Victoria,221.35,269.73,391.37,439.73,547.19,383.52
Nueva Ecija,418.34,342.15,245.66,154.05,80.66,27.69
Aliaga,439.92,348.66,198.43,85.75,23.8,6.59
Bongabon,375.74,350.73,303.36,279.96,157.04,62.09
Cabanatuan City,401.43,341.59,214.27,118.5,59.08,17.23
Cabiao,425.71,344.96,215.68,108.62,41.5,10.65
Carranglan,430.13,323.16,274.88,183.61,116.91,33.57
Cuyapo,509.18,351.93,208.95,50.69,18.15,5.15
Gabaldon,345.42,330.45,335.03,333.61,174.39,70.08
Gapan City,382.76,340.84,237.32,136.34,74.32,23.83
General Mamerto Natividad,416.99,359.71,231.49,135.51,70.32,27.37
General Tinio,375.87,342.87,319.52,304.82,167.2,60.06
Guimba,479.18,352.21,196.27,42.3,9.06,4.47
Jaen,414.54,335.56,209.71,100.45,30.49,8.56
Laur,388.11,353.66,280.53,250.76,138.43,46.92
Licab,480.79,375.58,198.05,66.78,12.65,5.39
Llanera,415.04,338.27,226.44,103.55,51.93,21
Lupao,455.77,332.04,229.92,99.35,64.27,17.57
Muñoz City,414.61,301.36,208.96,71.34,33.8,9.13
Nampicuan,524.3,381.14,197.95,40.66,7.43,3.56
Palayan City,408.38,366.71,246.61,172.68,93.7,34.17
Pantabangan,403.42,343.11,281.85,221.22,138.74,49.2
Peñaranda,387.92,349.51,237.08,135.51,78.89,25.33
Quezon,459.84,350.62,200.02,67.85,14.92,5.79
Rizal,413.95,362.17,258.31,183.78,104.38,39.95
San Antonio,461.45,356.05,208.59,87.16,28.15,7.11
San Isidro,382.09,326.87,210.11,92.98,28.33,11.11
San Jose City,429.41,337.93,238.8,123.97,84.7,25
San Leonardo,388.44,328.13,215.7,105.05,43.91,12.52
Santa Rosa,399.67,340.65,218.43,119.35,53.94,16.89
Santo Domingo,416.72,310.3,204.61,75.28,21.51,6.37
Talavera,412.65,320.61,209.23,88.55,35.61,11.95
Talugtug,465.31,330.17,208.19,57.08,25.06,6.45
Zaragoza,471.19,366.51,202.48,83.33,13.64,5.89
Nueva Vizcaya,377.75,323.32,285.45,202.62,131.4,43.74
Alfonso Castaneda,345.38,326.47,342.05,300.5,167.05,76.52
Ambaguio,395.88,328.47,271.64,180.32,111.55,33.38
Aritao,424.75,313.13,246.92,162.83,104.07,32.84
Bagabag,268.54,330.96,276.93,187.17,164.11,38.56
Bambang,349.53,305.8,260.59,165.9,112.99,39.95
Bayombong,264.89,285.89,246.34,168.36,118.45,38.24
Diadi,277.83,321.69,286.37,211.04,162.51,46.64
Dupax Del Norte,388.33,343.73,308.28,233.87,135.69,57.48
Dupax Del Sur,401.08,329.96,300.24,224.13,132.14,51.87
Kasibu,339.13,338.83,322.76,257.88,164.81,58.98
Kayapa,517.8,322.9,273.3,157.75,97.63,23.36
Quezon,285.4,318.49,299.47,229.27,163.6,49.6
Santa Fe,479.43,313.5,258.08,158.45,101.93,23.83
Solano,285.11,325.24,268.45,174.26,137.1,37.97
Villaverde,311.2,339.12,273.01,173.35,148.77,35.78
Occidental Mindoro,588.85,419.4,306.18,175.39,107.56,36.83
Abra de Ilog,543.34,275.64,300.14,178.76,129.74,37.92
Calintaan,587.5,522.84,329.6,167.76,107.61,38.14
Looc,511.68,341.03,266.1,126.67,79.06,12.27
Lubang,548.35,391.83,263.92,100.5,63.26,8.5
Magsaysay,560.08,483.79,312.62,203.5,110.02,32.02
Mamburao,633.71,349.41,278.55,170.08,132.79,23.97
Paluan,614.69,318.08,270.25,150.57,120.8,17.45
Rizal,602.24,537.62,305.19,165.01,84.93,25.96
Sablayan,590.73,463.96,327.43,190.04,102.75,57.11
San Jose,586.34,515.09,315.8,196.7,100.49,27.99
Santa Cruz,623.25,387.39,316.37,182.56,117.56,41.78
Oriental Mindoro,392.47,318.44,318.8,221.5,137.91,70.02
Baco,426.71,270.05,345.94,216.9,149.14,84.15
Bansud,419.9,387.79,332.19,217.73,110.42,73.77
Bongabong,414.37,384.67,312.52,205.22,106.77,66.24
Bulalacao,497.14,405.5,312.7,203.55,128.51,44.14
Calapan City,278.48,223.23,319.03,223.3,160.41,82.77
Gloria,361.34,344.4,319.82,223.51,117.51,78.45
Mansalay,485.3,426.1,318.33,197.61,109.1,53.8
Naujan,334.87,259.12,322.45,242.68,171.9,79.98
Naujan Lake,247.64,238.9,300.75,273.76,208.68,77.47
Pinamalayan,315.37,293.68,322.83,232.73,127.31,78.2
Pola,229.57,227.6,318.95,260.36,185.36,78.3
Puerto Galera,489.54,264.17,306.76,199.93,142.89,54.81
Roxas,389.82,357.12,293.14,217.67,118.04,59.99
San Teodoro,475.64,273.86,326.25,214.95,148.76,73.58
Socorro,312.82,294.26,315.77,236.47,126.89,78.45
Victoria,344.44,290.91,313.46,245.58,163.41,79.95
Palawan,349.99,327.14,269.82,218.22,180.82,53.83
Aborlan,204.13,249.56,284.93,241.09,188.84,47.55
Agutaya,526.29,479.34,286.28,157.09,116.04,34.89
Araceli,322.57,308.68,258.35,179.96,149.77,26.5
Balabac,141,183.52,208.17,245.14,274.15,248.83
Bataraza,175.71,192.62,215.31,229.57,235.6,123.01
Brooke's Point,183.87,201.22,224.61,239.71,231.57,67.57
Busuanga,561.34,558.93,280.58,170.01,117.28,18.22
Cagayancillo,508.23,396.31,308.68,199.04,140.6,56.7
Coron,513.15,479.05,274.14,147.96,94.29,20.31
Culion,573.01,558.29,289.62,192.52,118.1,21.98
Cuyo,406.19,401.06,252.63,121.12,87.56,23.7
Dumaran,356.79,298.15,280.05,223.52,188.98,29.09
El Nido,549.24,485.68,302.21,212.19,170.7,29.07
Linapacan,506,468.69,270.59,183.84,145.22,25.11
Magsaysay,459.52,436.21,282.91,139.98,93.2,26.25
Narra,171.82,217.71,263.81,229.35,172.1,52.84
Puerto Princesa City,311.79,280.03,289.42,241.09,185.36,38.92
Quezon,246.66,247.43,275.61,240.89,192.92,57.13
Rizal,209.77,219.4,234.9,238.37,232.55,83.06
Roxas,376.85,300.89,282.71,241.26,194.18,31.49
San Vicente,465.36,347.56,310.14,259.33,216.44,31.04
Sofronio Espanola,197.33,202.76,217.1,226.98,200.16,66.84
Taytay,434.84,380.42,288.73,207.84,164.22,28.76
Pampanga,553.04,377.9,204.81,103.67,48,8.19
Angeles City,593.65,405.29,198.25,77.27,34.44,5.22
Apalit,516.69,387.45,213.34,113.17,64.2,11.66
Arayat,494.34,364.58,216.64,112.26,53,9.35
Bacolor,478.72,304.25,175.11,87.67,33.51,8.96
Candaba,469.9,370.71,232.66,115.93,65.89,18.63
Floridablanca,651.36,368.32,212.04,98.15,51.65,3.76
Guagua,491.76,316.82,172.98,114.46,38.04,7.54
Lubao,595.1,386.89,191.04,115.39,47.21,3.76
Mabalacat,717.43,491.05,223.69,79.85,35.78,5.18
Macabebe,528.66,378.42,196.17,146.57,68.8,6.04
Magalang,558.16,411.9,215.26,84,35.22,7.21
Masantol,579.39,396.7,194.22,151.67,68.45,4.51
Mexico,526.35,371.17,201.21,90.49,42.27,8.28
Minalin,467.4,324.71,188.09,130.09,53.36,10.26
Porac,601.12,365.93,198.29,85.25,36.81,4.11
San Fernando City,508.11,340,191.14,81.32,33.9,8.34
San Luis,512.88,381.1,224.42,109.11,63.31,14.1
San Simon,513.8,379.84,219,109.36,61.14,13.16
Santa Ana,503.02,363.1,209.08,106.54,50.22,10.7
Santa Rita,511.73,312.02,176.12,82.29,21.52,6.92
Santo Tomas,470.66,321.64,195.9,128.95,49.9,11.46
Sasmuan,561.93,374,186.58,141.73,64.43,4.93
Pangasinan,607.03,352.83,222.36,53.64,23.72,3.87
Agno,773.77,377.94,211.68,38.65,22.82,2.57
Aguilar,560.44,335.95,240.41,56.96,14.41,2.65
Alaminos City,737.26,378.14,219.57,58.56,26.31,2.6
Alcala,527.77,339.99,206.41,27.43,6.24,2.41
Anda,755.52,366.37,185.74,63.7,29.68,2.58
Asingan,555.97,350.14,226.67,38.64,7.13,3.86
Balungao,528.16,348.41,217.02,46.23,16.35,4.1
Bani,774.2,367.78,198.56,46.73,19.55,2.36
Basista,513.84,336.05,203.61,14.81,5.21,2.46
Bautista,535.39,353.5,205.39,44.7,9.36,2.41
Bayambang,537.68,351.14,209.39,36.35,7.97,2.49
Binalonan,595.52,360.14,241.55,52.99,24.18,3.9
Binmaley,530.62,317.37,201.93,41,14.32,2.2
Bolinao,791.29,375.04,175.95,54.34,23.85,2.38
Bugallon,587.07,328.27,229.23,42.75,12.49,2.26
Burgos,743.37,411.72,230.58,42.18,28.03,3.57
Calasiao,458.79,301.69,182.63,39.74,12.27,2.47
Dagupan City,519.75,329.56,212.64,51.59,18.52,2.19
Dasol,775.84,407.75,234.92,43.4,27.66,2.79
Infanta,716.49,360.26,229.37,46.84,19.8,2.48
Labrador,630.7,340.43,228.49,63.35,22.65,2.43
Laoac,561.48,351.1,234.59,15.11,5.65,2.56
Lingayen,563.91,327.8,215.46,44.54,16.93,2.31
Mabini,720.64,382.87,236.09,48.56,21.29,2.52
Malasiqui,497.31,324.05,202.47,15.24,5.31,2.44
Manaoag,541.87,337.14,229.53,24.81,10.47,2.57
Mangaldan,509.94,324.44,211.26,48.19,16.48,2.34
Mangatarem,556.37,351.53,251.18,70.15,28.01,3.29
Mapandan,509.31,324.93,212.33,25.22,6.95,2.53
Natividad,495.39,319.63,246.13,133.92,87.31,12.98
Pozzorubio,601.89,365.8,237.85,54.62,26.97,2.99
Rosales,533.34,343.91,212.04,49.33,15.6,3.19
San Carlos City,484.43,311,193.37,26.27,6.98,2.48
San Fabian,565.71,350.62,212.13,48.21,23.7,2.55
San Jacinto,547.94,339.85,225.62,43.55,18.21,2.56
San Manuel,611.09,362.54,247.48,73.28,36.43,6.11
San Nicolas,542.93,331.67,250.49,119.92,75.57,10.62
San Quintin,497.04,331.21,240.41,106.28,60.23,12.23
Santa Barbara,472.88,311.96,193.65,32.38,7.86,2.53
Santa Maria,537.9,351.5,218.03,36.18,7.86,4.92
Santo Tomas,533.37,343.92,209.43,43.13,8.11,2.4
Sison,649.62,381.94,244.66,82.69,45.59,4.69
Sual,688.06,371.75,230.45,66.99,23.31,2.43
Tayug,553.02,346.67,226.37,55.83,17.16,7.66
Umingan,493.58,339.84,226.2,87.6,44.65,10.81
Urbiztondo,525.61,346.2,215.06,28.29,6.19,2.71
Urdaneta City,523.95,341.94,220.41,23.91,6,2.65
Villasis,530.83,344.51,213.92,26.14,6.62,2.53
Quezon,226.66,306.74,416.56,382.03,381.71,136.94
Agdangan,160.3,303.05,361.22,358.21,348.98,116.38
Alabat,191.37,261.53,509.29,493.52,628.28,189.48
Atimonan,178.92,293.1,425.87,422.52,455.28,152.57
Buenavista,225.56,364.58,394.68,337.59,403.26,142.83
Burdeos,161.99,217.61,481.97,449.44,415.2,175.94
Calauag,199.84,282.53,468.65,471.33,535.93,162.33
Candelaria,229.12,275.59,343.51,252.64,230.14,70.27
Catanauan,203.62,345.31,341.71,323.7,344.94,121.51
Dolores,262.31,282.4,333.97,259.24,228.27,64.92
General Luna,182.81,341.08,367.29,368.48,398.73,137.89
General Nakar,342.42,351.58,465.44,441.25,306.2,145.55
Guinayangan,224.58,335.2,458.36,420.8,497.54,161.37
Gumaca,179.84,330.58,431.29,414.84,484.49,155.08
Hinunangan,158.02,190.29,255.14,348.12,442.34,490.32
Infanta,232.47,320.75,547.23,521.4,371.55,286.25
Jomalig,107.51,201.78,462.89,433.81,491.33,190.91
Lopez,205.59,342.84,423.76,405.34,464.49,152.53
Lucban,246.4,308.69,401.02,362.8,328.75,97.32
Lucena City,163.68,272.74,355.55,309.73,291.77,82.28
Macalelon,170.94,343.26,389.9,394.72,441.45,141.58
Mauban,218.72,293.98,422.93,406.36,407.14,125.3
Mulanay,244.52,331.5,314.48,261.3,282.79,94.36
Padre Burgos,162.33,296.4,382.02,379.39,382.98,134.98
Pagbilao,176.66,277.79,373.1,342.89,342.68,102.25
Panukulan,190.51,243.82,476.41,452.19,396.59,170.14
Patnanungan,139.55,204.71,461.24,435.48,438.64,167.05
Perez,191.77,265.29,459.77,458.51,544.69,158.07
Pitogo,162.47,330.49,397.84,402.1,431.63,144.58
Plaridel,175.86,317,462.83,433.69,529.89,168
Polillo,169.97,248.87,481.68,447.5,435.64,173.09
Quezon,184.53,270.04,507.54,490.11,602.55,178.46
Real,278.34,338.37,455.7,419.74,357.81,152.87
Sampaloc,241.92,313.51,395.27,382.83,368.84,109.47
San Andres,402.9,388.65,302.07,180.84,160.25,60.11
San Antonio,260.75,265.73,295.03,181.29,164.22,55.57
San Francisco,273.46,308.65,281.32,172.76,162.17,69.76
San Narciso,302.84,368.6,335.57,259.4,286.38,97.41
Sariaya,191.26,265.83,342.68,279.74,263.77,76.72
Tagkawayan,234.73,329.1,514.54,491.24,562.24,192.02
Tayabas City,205.24,289.6,409.04,351.83,334.39,91.19
Tiaong,246.39,270.13,310.62,207.8,185.81,59.51
Unisan,162.23,320.47,413.32,409.69,442.49,150.5
Quirino,286.06,339.39,362.97,343.46,226.17,84.21
Aglipay,272.85,328.03,346.89,300.57,188.62,75.29
Cabarroguis,298.05,330.07,336.85,277.67,181.46,67.61
Diffun,277.58,309.2,307.15,253.4,169.22,57.69
Maddela,257.46,339.44,401.72,439.17,312.87,105.2
Nagtipunan,308,354.67,366.71,337.39,209.14,85.14
Saguday,265.39,301.02,304.11,247.51,157.91,61.63
Rizal,437.71,416.55,329.78,274.06,224.14,55.56
