Prov/Muni,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019
Bocaue,286.28,176.36,54.07,38.62,60.92,73.83
Bulacan,215.12,134.51,42.44,32.66,49.78,65.34
Bustos,303.15,194.66,57.04,42.22,62.97,79.45
Calumpit,212.43,132.84,42.31,34.21,47.45,63.84
Dona Remedios Trinidad,221.54,153.01,43.3,33.85,47.62,63.94
Guiguinto,186.9,112.1,30.29,22.32,34.8,48.1
Hagonoy,113.03,72.41,15.55,13.73,21.55,39.86
Malolos City,107.8,87.49,23.61,18.37,28.58,46.38
Marilao,138.9,116.49,28.45,22.6,35.63,54.78
Meycauayan City,264.95,200.39,49.12,37.36,55.71,70.23
Norzagaray,203.32,115.46,29.33,21.57,32.75,47.43
Obando,123.68,75,17.57,14.25,22.1,40.04
Pandi,107.02,85.51,21.67,16.03,25.7,42.75
Paombong,122.79,123.74,26.87,20.61,33.5,51.51
Plaridel,295.4,218.38,56.87,40.98,63.36,75.74
Pulilan,191.23,100.16,19.39,13.29,20.87,36
San Ildefonso,144.88,84.21,15.42,11.46,18.12,32.3
San Jose del Monte City,187.31,145.47,34.61,25.15,41.41,55.85
San Miguel,182.06,101.03,16.11,11.46,19.74,31.87
San Rafael,142.28,90.05,21.23,15.77,25.98,30.89
Santa Maria,149.97,64.98,12.62,7.47,17.35,22.47
Cagayan,371.67,206.57,72.4,37.69,56.55,50.41
Abulug,309.67,139.01,122.79,57.35,55.28,40.75
Alcala,314.11,128.93,83.7,81.88,61.88,28.87
Allacapan,245,109.36,62.11,43.19,46.22,26.98
Amulung,285.11,155.62,80.75,45.47,64.71,35.63
Aparri,275.5,127.48,41.91,17.92,102.41,59.65
Baggao,326.38,177.84,68.39,34.27,89.63,62.22
Ballesteros,355.44,209.15,86.43,39.36,69.2,50.7
Buguey,360.81,255.94,116.95,47.84,56.53,39.74
Calayan,340.03,236.35,110.45,50.56,56.15,39.92
Camalaniugan,462.5,300.9,101.92,40.59,60.33,52.04
Claveria,326.2,229.99,98.33,49.87,54.53,42.1
Enrile,353.88,246.44,90.82,41.61,53.28,45.02
Gattaran,440.91,275.32,90.54,41.86,58.8,54.66
Gonzaga,417.07,229.24,69.21,35.91,49.91,52.5
Iguig,389.88,161.74,48.49,24.03,37.44,52.91
Lal-Lo,435.18,217.47,65.52,33.93,48.93,54.43
Lasam,423.09,174.56,47.48,22.63,37.71,56.71
Pamplona,462.2,249.72,67.17,37.31,53.11,56.34
Penablanca,390.31,186.04,57.77,30.82,46.97,54.06
Piat,390.42,211.52,65.43,34.93,50.38,48.55
Rizal,539.73,334.55,84.13,52.15,57.92,63.13
Sanchez-Mira,257.34,140.18,46.04,22.24,41.8,48.16
Santa Ana,336.24,189.23,57.99,31.51,46.85,49.5
Santa Praxedes,525.27,325.92,75.68,48.94,55.51,60.18
Santa Teresita,312.7,156.38,49.74,26.92,42.79,52.94
Santo Nino,351.16,188.24,52.58,27.83,43.32,46.36
Solana,374.47,217.43,60.14,34.02,45.87,51.34
Tuao,432.73,260.3,67.26,40.55,51.91,56.07
Tuguegarao City,471.45,290.05,72.6,43.83,54.4,56.72
Camarines Norte,524.39,582.63,244.96,162.33,193.34,113.17
Basud,384.73,415.33,168.25,109.48,114.06,74.88
Capalonga,499.55,573.14,204.59,133.64,163.14,94.17
Daet,510.85,607.61,239.4,158.62,186.52,110.6
Jose Panganiban,511.8,575.56,196.15,133.33,174.21,93.72
Labo,539.54,615.28,248.15,165.81,202.94,114.64
Mercedes,554.04,610.74,254.56,176.73,211.33,122.45
Paracale,515.52,587.54,238.08,157.27,185.32,113.09
San Lorenzo Ruiz,619.63,642.09,317.49,221.09,252.09,146.61
San Vicente,549.75,620.05,305.45,197.57,222.1,137.07
Santa Elena,591.58,624.43,292.51,193.07,229.46,137.62
Talisay,556.83,600.51,293.91,185.58,210.96,127.33
Vinzons,511.83,564.08,262.85,165.22,200.32,117.29
Camarines Sur,404.96,443.96,205.87,133.23,142.54,96.64
Baao,503.74,558.19,257.05,153.17,185.69,108.54
Balatan,461.05,509.7,247.77,148.72,172.18,99.88
Bato,399.51,446.43,162.6,100.37,129.99,66.1
Bato Lake,521.5,577.67,264.75,173.04,205.27,116.57
Bombon,470.45,510.23,247.27,151.27,168.47,103.16
Buhi,467.78,518.12,244.19,149.5,160.69,98.63
Buhi Lake,505.48,574.07,227.44,154.93,193.52,115.32
Bula,509.86,559.12,253.47,164.9,193.88,112.83
Cabusao,470.5,501.08,254.23,150.64,159.89,104.02
Calabanga,446.57,501.33,234.5,145.24,156.4,96.32
Camaligan,476.1,553.61,225.05,150.42,180.56,102.78
Canaman,470.91,538.33,236.32,153.95,180.9,104.61
Caramoan,447.98,499.3,241.86,150.23,165.99,102.5
Del Gallego,448.69,489.19,248.53,152.28,171.55,108.19
Gainza,474.85,508.6,284,171.79,175.16,107.77
Garchitorena,417.32,469,210.26,136.37,149.77,91.58
Goa,455.16,490.97,266.4,161.15,177.66,114.21
Iriga City,385.61,450.09,186.63,126.01,134.44,83.37
Lagonoy,429.56,456.92,222.59,147.59,155.58,104.19
Libmanan,398.55,434.73,205.34,134.05,136.69,91
Lupi,355.86,407.51,162.41,109.97,116.28,83.97
Magarao,408.98,438.58,214.44,121.21,169.56,110.85
Milaor,449.51,459.84,251.33,165.75,169.42,117.52
Minalabac,359.16,398.09,167.58,109.69,118.6,77.2
Nabua,314.74,372.78,148.87,107.47,100.82,78.68
Naga City,314.32,356.35,137.59,98.94,97.03,80.52
Ocampo,403.88,434.52,195.3,109.58,149.19,103.12
Pamplona,424.55,458.2,231.51,152.44,156.72,109.88
Pasacao,334.66,375.27,154.5,105.43,106.63,78.77
Pili,294.49,306.86,129,95.85,89.18,79.74
Presentacion,382.06,403.57,206.52,139.87,140.67,100.24
Ragay,304.8,317.17,142.38,101.82,94.33,85.24
Sagnay,387.99,422.38,223.29,148.72,151.83,113.48
San Fernando,330.55,360.05,145.32,94.17,98.51,79.84
San Jose,360.43,374.84,163.44,114.75,106.36,92.86
Sipocot,384.47,409.75,190.84,126.02,127.57,101.5
Siruma,394.62,427.93,196.57,129.66,133.77,103.11
