Prov/Muni,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019
Palo,386.98,392.7,238.66,176.69,129.99,134.56
Palompon,338,286.13,155.79,154.92,97.58,146.59
Pastrana,412.65,382.47,227.92,194.72,138.82,152.65
San Isidro,359.1,298.51,171.04,159.48,101.07,142.99
San Miguel,439.92,383.89,235.34,200.99,131.19,170.36
Santa Fe,361.58,386.15,242.35,178,123.62,135.73
Tabango,374.19,307.32,174.65,164.43,105.63,147.03
Tabontabon,438.78,411.57,223.47,189.89,150.33,150.15
Tacloban City,406.25,396.28,251.05,193.86,124.77,153.68
Tanauan,425.6,403.36,231.27,186.19,141.88,141.33
Tolosa,462.75,416.68,228.23,197.42,153.13,149.86
Tunga,414.85,373.12,221.4,198.81,130.61,161.04
Villaba,364.48,297.46,168.04,161.17,101,150.83
Maguindanao,123.9,99.59,95.19,123.19,129.1,217.05
Ampatuan,133.44,100.53,99.99,141.35,137.24,223.33
Buluan,111.66,94.07,84.89,110.05,81.89,192.18
Buluan Lake,129.99,92.46,84.67,106.95,78.83,187.07
Cotabato City,128.87,98.6,100.72,119.52,163.51,230.28
Datu Abdullah Sanki,102.16,94.7,87.66,118.97,124.02,212.43
Datu Anggal Midtimbang,117.2,97.88,96.99,126.6,138.51,214.26
Datu Paglas,120.63,108.06,94.78,107.73,96.3,193.86
Datu Piang,142.21,98.31,98.28,119.3,136.29,215.04
Datu Saudi-Ampatuan,135.43,97.32,94.58,119.69,136.8,216.49
Datu Unsay,127.89,98.91,99.04,136.71,136.49,225.46
Gen. S. K. Pendatun,98.69,96.92,90.72,110.25,110.31,215.53
Guindulungan,121.65,98.86,98.89,133.45,140.63,220.15
Mamasapano,126.59,96.61,89.17,115.91,132.84,213.17
Mangudadatu,140.44,94.06,85.42,106.45,77.83,185.77
Pagagawan,122,108.57,97.24,124.19,139.8,239.69
Pagalungan,133.97,103.69,96.43,111.53,130.15,226.48
Paglat,97.9,97.65,90.89,107.17,106.79,213.09
Pandag,86.5,95.11,84.95,107.49,93.09,199.1
Rajah Buayan,128,97.82,89.87,113.05,132.48,219.51
Shariff Aguak,113.22,95.85,92.37,125.93,130.64,215.62
South Upi,135.48,104.69,103.99,152.39,153.24,225.43
Sultan Sa Barongis,128.04,97.79,92.43,112.99,129.31,223.02
Talayan,118.93,98.71,98.18,132.19,140.68,218.96
Talitay,112.08,97.2,95.4,121.74,137.41,213.21
Marinduque,239.59,92.68,61.47,66.67,49.2,140.14
Boac,250.04,94.56,64.47,67.99,53.46,154.14
Buenavista,189.93,70.28,41.61,46.61,38.28,122.69
Gasan,229.07,80.28,54.55,52.83,48.17,141.11
Mogpog,257.98,92.68,67.41,63.74,54.46,146.65
Santa Cruz,259.83,103.71,71.89,81.97,48.62,131.55
Torrijos,234.32,99.5,60.28,70.48,50.35,143.39
Masbate,265.02,188.89,102.23,101.27,63.87,134.97
Aroroy,254.29,180.26,102.46,86.11,63.68,141.46
Baleno,259.26,194.08,98.54,94.45,59.37,139.82
Balud,190.65,127.59,71.21,68.44,44.47,131.64
Batuan,326.3,243.36,130.2,120.29,77.71,133.96
Cataingan,283.32,213.82,111.42,129.8,81.01,125.24
Cawayan,261.54,186.62,95.3,100.1,61.63,129.48
Claveria,249.94,162.11,105.13,84.86,62.59,146.32
Dimasalang,300.93,204.28,102.82,132.38,77.61,110.32
Esperanza,279.48,231.57,128.21,125.26,75.44,137.87
Mandaon,258.77,164.45,92.99,85.04,53.74,145.98
Masbate City,245.71,191.51,88.58,91.18,48.14,131.66
Milagros,260.59,176.56,93.48,96.26,49.18,146.9
Mobo,269.35,203.57,94.36,107.84,54.28,137.8
Monreal,348.25,239.3,137.4,115.23,87.17,144.43
Palanas,279.21,189.47,93.2,128,78.78,105.44
Pio V. Corpuz,273.76,220.2,122.03,124.18,76.33,125.84
Placer,235.28,191.15,100.06,108.59,67.07,116.88
San Fernando,308.16,237.42,128.73,113.84,77.47,137.09
San Jacinto,329.63,245.76,136.83,118,82,144.55
San Pascual,243.09,146.43,98.41,76.67,62.72,145.58
Uson,283.41,206.32,102.02,120.21,67.2,125.1
Metropolitan Manila,95.17,17.06,9.7,16.61,22.6,154.69
Kalookan City,99.06,21.42,14.94,27.35,31.74,179.14
Las Pinas,62.38,10.59,5.74,5.83,14.5,125.46
Makati City,66.03,13.62,5.87,10.49,15.85,145.08
Malabon,65.9,14.12,7.2,16.3,23.26,158.33
Mandaluyong,62.98,16.03,6.69,13.16,17.31,152.07
Manila,67.64,14.8,5.55,11.11,19.81,147.52
Marikina,109.01,25.56,15.71,27.08,30.08,171.99
Muntinlupa,151.17,16.94,9.98,10.97,18.3,131.34
Navotas,80.7,18.96,8.73,18.23,28.19,156.66
Paranaque,121.32,10.14,5.58,7.78,14.61,127.11
Pasay City,81.6,7.42,3.67,8.34,12.33,131.9
Pasig City,103.13,19.82,11.1,16.75,23.63,165.62
Pateros,151.49,17.77,11.04,12.73,22.46,161.55
Quezon City,101.07,22.94,14.62,26.77,30.57,172.34
San Juan,62.48,15.97,6.66,13.12,17.26,151.96
Taguig,136.45,14.78,8.64,11.18,18.83,144.28
Valenzuela,71.41,14.54,9.73,19.57,23.5,168.15
Misamis Occidental,305.54,211.49,140.66,159.21,95.21,150.84
Aloran,288.01,188.71,127.91,147.41,85.12,142.22
Baliangao,225.46,143.1,87.19,96.11,71.47,111.91
Bonifacio,306.33,204.75,155.99,176.16,126.51,189.17
Calamba,239.23,151.02,100.01,116.94,78.68,123.96
Clarin,378.98,315.87,190.42,210.07,102.4,157.39
Concepcion,293.76,166.66,123.37,148.4,98.63,164.35
Don Victoriano Chiongbian,338.37,195.89,150.35,174.83,113.3,185.78
Jimenez,320.58,227.26,149.41,170.48,92.47,149.09
Lopez Jaena,234.68,151.82,98.56,111.74,71.42,114.23
Oroquieta City,271.73,167.54,115.86,135.56,83.29,143.38
Ozamis City,380.1,310.22,192.46,212.09,108.81,165.13
Panaon,303.03,215.37,140.66,164.06,87.25,144.31
Plaridel,213.33,143.24,87.38,94.16,67.42,101.8
Sapang Dalaga,251.99,150.25,98.45,114.32,82.29,127.94
Sinacaban,328.01,249.76,156.98,175.16,93.16,142.3
Tangub City,331.03,240.68,167.38,184.59,121.07,182.64
Tudela,369.51,293.86,182,199.38,100.42,152.81
Misamis Oriental,251.79,214.34,163.73,171.3,106.41,134.49
Alubijid,136.82,122.69,87.57,93.62,65.28,110.8
Balingasag,254.79,219.89,164.68,173.1,100.1,131.42
Balingoan,318.56,273.89,191.47,191.52,105.4,114.31
Binuangan,300.88,254.8,175.22,174.67,95.65,112.61
Cagayan de Oro City,132.52,131.02,95.9,107.86,77.62,143.91
Claveria,346.07,277.48,225.01,244.38,145.6,171.15
El Salvador City,124.49,121.84,86.78,90.58,62.87,107.19
Gingoog City,413.84,332.42,274.33,282.87,174.79,151.79
Gitagum,131.57,126.89,85.2,87.92,61.94,96.24
Initao,140.64,123.1,86.55,92.8,66.62,111.73
Jasaan,209.68,194.6,138.82,140.07,84.4,135.41
Kinoguitan,300.16,268.69,177.91,175.24,94.99,110.07
Lagonglong,287.33,233.66,176.74,185.88,103.83,124.61
Laguindingan,124.17,127.38,84.64,84.44,59.99,96.35
Libertad,136.88,122.77,86.69,93.17,65.2,105.79
Lugait,183.56,129.9,98.4,109.96,86.86,144.4
Magsaysay,368.45,378.25,284.42,243.08,151.82,122.25
Manticao,177.12,123.36,100.75,119.62,86.83,135.96
Medina,384.88,302.37,239.83,245.71,142.24,132.17
Naawan,161.91,122.44,93.6,106.45,76.12,128.72
Opol,125.61,121.71,88.06,94.4,69.8,119.56
Salay,309.13,245.38,182.82,191.28,102.71,120.81
Sugbongcogon,304.16,253.11,178.27,181.9,97.9,114.8
Tagoloan,173.24,160.3,116.41,132.2,81.82,144.35
Talisayan,334.83,285.08,209.64,210.68,116.86,122.04
Villanueva,191.45,168.38,125.44,139.88,83.49,136.06
Mountain Province,94.79,25.64,30.38,58.64,104.55,267.6
Barlig,124.8,30.8,38.91,67.01,117.58,272.59
Bauko,52.87,17.04,27.07,62.94,123.75,320.8
Besao,39.73,10.96,13.26,39.87,89.25,287.59
Bontoc,71.55,18.46,27.45,58.97,111.98,280.56
Natonin,154.58,38.19,39.59,63.32,101.47,243.02
Paracelis,146.49,41.55,36.91,58.51,77.82,187.23
Sabangan,67.29,18.82,29.22,65.17,123.66,309.03
Sadanga,88.29,22.94,30.18,56.15,109.14,275.25
Sagada,41.86,11.84,19.06,50.39,100.23,280.77
Tadian,35.66,13.16,19,49.38,106.91,321.24
Negros Occidental,172.29,104.55,78.32,84.91,76.06,181.82
Bacolod City,226.98,113.68,90.67,99.8,72.58,183.84
Bago City,176.7,92.54,71.96,73.43,80.5,211.96
Binalbagan,136.56,81.47,58.08,72.89,76.74,200.82
Cadiz City,211.03,130.81,101.69,103.42,69.32,154.2
Calatrava,182.04,121.05,92.82,99.36,68.62,155.54
Candoni,134.38,90.45,70.17,76.52,73.05,186.92
Cauayan,136.49,84.16,61.41,71.09,65.24,184.03
Enrique B. Magalona,273.34,138.78,103.8,104.99,83.98,182.44
Escalante City,175.68,134.19,86.68,84.56,63.82,129.46
Himamaylan City,133.82,81.97,61.52,76.01,72.26,190.01
Hinigaran,132.89,75.15,52.45,56.77,95.85,212.71
Hinoba-An,138.85,92.95,62.42,71.39,66.62,178.98
Ilog,130.06,87.98,67.93,75.55,69.34,181.68
Isabela,135.98,86.41,56.15,71.07,93.49,204.79
Kabankalan City,134.29,91.01,70.07,81.64,72.48,180.06
La Carlota City,152.34,83.22,66.05,70.52,97.36,219.14
La Castellana,145.81,87.71,62.65,73.07,101.34,210.69
Manapla,228.33,137.75,109.32,98.26,68.94,151.68
Moises Padilla,130.98,93.24,64.45,72.8,90.42,193.86
Murcia,205.92,105.03,85.88,97.95,82.58,204.98
Pontevedra,134.26,74.84,58.89,60.02,106.03,220.23
Pulupandan,159.75,91.82,61.25,65.51,77.81,246.8
Sagay City,195.62,139.35,96.07,91.33,65.53,139.93
Salvador Benedicto,186.79,112.02,93.1,99.54,76.69,174.44
San Carlos City,170.56,115.47,90.95,92.96,65.62,150.67
San Enrique,114.48,70.6,60.85,56.52,101.37,235.3
Silay City,244.95,127.43,99.2,109.4,81.78,185.35
Sipalay City,143.36,86.1,62.2,68.28,70.54,187.79
Talisay City,249.22,123.21,98.97,117.95,83.63,190.41
Toboso,173.16,129.09,90.11,93.18,65.15,138.23
Valladolid,134.79,87.84,58.55,60.66,86.27,244.61
Victorias City,276.29,142.11,105.3,107.06,83.91,178.98
Negros Oriental,146.82,111.2,68.59,92.67,65.01,140.54
Amlan,150.96,132.11,69.19,112.11,65.84,116.67
Ayungon,151.66,102.85,72.62,95.39,70.28,166.43
Bacong,116.28,84.14,58.68,82.44,40.79,84.41
Bais City,147.61,122.09,71.09,102.98,71.05,142.31
Basay,147.28,99.46,60.86,73.95,59.86,158.56
Bayawan City,138.77,108.47,67.07,84.21,65.01,153.2
Bindoy,153.41,104.41,73.01,100.55,73.64,167.02
Canlaon City,148.38,104.32,78.6,82.65,76.73,169.65
Dauin,134.39,99.03,61.99,88.46,47.29,102.32
Dumaguete City,113.11,81.3,57.6,82.86,40.42,76.29
Guihulngan City,155.64,104.61,71.17,84.92,71.96,165.51
Jimalalud,157.05,100.51,70.77,94.3,70.87,172.14
La Libertad,159.14,102.14,70.12,89.12,71.63,168.33
Mabinay,140.47,105.22,71.9,93.53,75.79,162.04
Manjuyod,147.27,114.8,72.3,105.09,69.33,145.83
Pamplona,158.31,150.31,70.79,102.41,72.58,122.73
San Jose,147.69,113.29,67.92,106.7,56.39,108.35
Santa Catalina,157.57,119.54,65.93,94.63,60.81,129.71
Siaton,134.05,106.31,60.17,77.89,51.66,110.28
Sibulan,143.67,112.12,65.41,102.24,56.68,107.17
Tanjay City,154.64,136.55,69.86,104.6,70.39,132.43
Tayasan,149.89,100.59,71.04,92.6,70.08,167.48
Valencia,139.88,99.42,65.03,102.18,51.84,110.27
Vallehermoso,157.34,112.81,84.31,84.06,64.1,143.24
Zamboanguita,121.18,100.06,57.51,80.93,46.28,96.31
North Cotabato,169.09,131.61,123.46,152.86,159.97,257.66
Alamada,220.49,134.83,146.99,198.57,190.14,307.12
Aleosan,138.46,115.33,112.81,143.22,155.38,251.09
Antipas,168.44,147.35,127.69,163.52,170.28,265.3
Arakan,199.79,167.38,152.36,186.07,185.97,275.5
Banisilan,196.82,137.71,142.75,189.29,183.25,292.79
Carmen,154.6,130.59,121.45,160.93,164.7,275.4
Kabacan,133.79,116.12,103.09,130.12,142.19,242.98
Kidapawan City,176.63,134.94,117.88,128.59,143.85,226.8
Libungan,164.7,125.67,133.73,165.38,178.73,284.29
Magpet,205.94,135.89,119.49,148.07,160.56,260.05
Makilala,178.97,130.29,114.11,126.15,137.3,225.2
Matalam,147.75,131.62,116.67,144.89,150.68,252.49
Midsayap,153.9,108.8,114.2,134.91,147.38,232.21
M'Lang,138.75,123.35,108.49,113.64,131.84,211.47
Pigkawayan,154.58,118.63,124.08,155.55,172.88,258.61
Pikit,131.84,105.96,99.19,122.29,140.87,237.24
President Roxas,171.33,151.6,130.55,162.31,170.86,263.14
Tulunan,129.47,118.16,100.37,110.98,113.95,207.53
Northern Samar,573.93,428.6,245.01,274.28,148.76,168.9
Allen,512.35,356.6,206.79,217.21,149.97,157.79
Biri,348.34,249.56,145.52,138.23,95.04,98.47
Bobon,567.4,440.04,236.63,263.62,177.8,167.06
Capul,463.68,319.81,188.58,184.53,126.52,157.12
Catarman,584.32,487.51,253.01,275.82,178.6,160.13
Catubig,616.07,464.39,265.76,321.47,129.79,183.18
Gamay,559.57,443.22,257.1,261.69,148.67,174.66
Laoang,622.23,483.63,321.08,323.77,110.93,150.28
Lapinig,580.86,448.74,269.58,256.94,166.08,182.62
Las Navas,602.31,441.98,253.27,306.92,153.94,193.71
Lavezares,516.48,361.84,210.49,217.03,149.22,153.15
Lope de Vega,586.02,442.25,247.22,286.93,170.31,184.09
Mapanas,577.76,460.13,267.67,284.47,133.17,172.32
Mondragon,616.01,465.12,253.67,294.13,156.96,173.19
Palapag,601.1,469.92,296.68,305.06,122.2,156.45
Pambujan,641.69,467.42,268.05,334.74,113.58,167.4
Rosario,533.96,394.83,222.3,239.18,164.63,157.03
San Antonio,516.65,341.26,199.39,200.18,141.12,161.14
San Isidro,544.79,362.36,205.22,235.81,178.16,173.98
San Jose,544.89,415.22,229.23,244.39,168.87,154.65
San Roque,644.45,471.66,263.97,333.76,125.85,173.02
San Vicente,409.26,281.81,157.38,154.09,108.27,149.25
Silvino Lobos,596.41,432.26,244.8,296.37,166.48,194.72
Victoria,545.49,382.49,214.22,240.92,172.56,166.46
Nueva Ecija,79.45,28.22,21.97,39.27,57.02,216.56
Aliaga,22.58,7.16,6.08,16.62,39.14,203.93
Bongabon,155.81,62.79,47.24,67.86,80.33,244.22
Cabanatuan City,57.84,17.83,13.1,25.39,37.46,181.99
Cabiao,40.31,11.04,8.89,20.02,42.03,195.85
Carranglan,115.77,33.81,28.81,57.63,87.4,230.91
Cuyapo,16.94,5.64,3.67,18.93,52.75,243.95
Gabaldon,173.18,70.74,51.33,77.14,86.22,243.54
Gapan City,73.13,24.28,18.08,29.78,45.53,194.48
General Mamerto Natividad,69.1,28.01,22.76,37.43,56.39,198.54
General Tinio,165.97,60.69,42.57,69.65,77.04,208.65
Guimba,7.84,5.01,4.95,15.91,42.58,235.22
Jaen,29.27,9.09,7.43,19.42,35.49,188.71
Laur,137.19,47.6,36.75,53.69,65.66,214.76
Licab,11.41,5.95,6.37,15.41,47.53,222.58
Llanera,50.72,21.58,19.27,34.92,50.11,213.63
Lupao,63.09,17.89,14.25,32.54,57.06,229.23
Munoz City,32.6,9.64,10.15,24.83,37.4,232.9
Nampicuan,6.2,4.08,3.84,15.17,49.83,243.75
Palayan City,92.5,34.83,26.28,41.28,56.53,199.24
Pantabangan,137.57,49.74,38.01,61.02,70.8,227.68
Penaranda,77.68,25.88,19.27,31.9,42.15,187.75
Quezon,13.68,6.35,6.56,17.23,42.46,224.46
Rizal,103.2,40.6,32.54,50.15,61.78,217.73
San Antonio,26.91,7.6,8.17,18.78,42.36,202.77
San Isidro,27.14,11.52,8.4,19.9,40.77,194.13
San Jose City,83.52,25.41,21.13,39.45,53.18,222.35
San Leonardo,42.7,13.06,9.78,22.01,36.12,183.28
Santa Rosa,52.71,17.48,13.01,26.02,35.91,182.23
Santo Domingo,20.28,6.94,8.28,21.09,37.75,226.02
Talavera,34.39,12.52,11.74,24.53,41.19,211.73
Talugtug,23.86,6.92,5.43,20.01,46,244.18
Zaragoza,12.4,6.44,6.89,17.37,42.37,213.38
Nueva Vizcaya,130.35,44.15,43.15,76.98,113.25,227.11
Alfonso Castaneda,165.91,77.26,63.24,99.45,104.88,256.48
Ambaguio,110.59,33.34,36.81,69.87,127.1,257.87
Aritao,102.94,33.38,35.73,67.87,111.04,214.21
Bagabag,163.18,38.44,50.02,80.19,104.24,182.19
Bambang,111.95,40.61,37.2,70.6,116.17,222.07
Bayombong,117.46,38.56,32.34,66.03,112.83,219.06
Diadi,161.61,46.5,49.17,81.31,98.79,202.57
Dupax Del Norte,134.54,58.22,52.65,91.7,116.86,220.83
Dupax Del Sur,131.02,52.47,46.29,81.18,108.02,228.08
Kasibu,163.76,59.59,54.37,95.38,121.47,221.41
Kayapa,96.58,23.72,30.91,60.9,125.1,258.55
Quezon,162.6,49.91,47.97,82.91,113.57,211.28
Santa Fe,100.78,24.25,25.93,55.17,105.35,227.53
Solano,136.14,38.06,41.33,75,109,189.49
Villaverde,147.87,35.57,45.14,76.73,112.24,203.26
Occidental Mindoro,105.11,36.19,19.58,23.75,52.74,222.47
Abra de Ilog,127.8,37.3,10.52,26.7,56.52,203.04
Calintaan,105.38,37.44,26.16,20.07,50.67,249.86
Looc,72.96,12.1,6.43,2.6,19.05,136.77
Lubang,61.49,8.65,6.55,2.87,18.07,146.25
Magsaysay,107.52,31.77,23.41,8.19,34.54,207.82
Mamburao,130.76,23.18,13.28,14.77,46.03,194.47
Paluan,118.82,17.39,4.62,6.91,33.39,184.34
Rizal,82.61,25.44,26.55,8.52,37.74,233.16
Sablayan,100.57,56.31,28.6,44.13,75.46,263.08
San Jose,98.01,27.61,24.54,9.33,36.76,220.55
Santa Cruz,115.45,40.92,19.11,32.64,67.91,239.57
Oriental Mindoro,136.1,69.27,39.87,52.18,68.21,209.8
Baco,147.14,83.36,40.41,78.99,90.53,232
Bansud,108.35,73.08,40.06,53.09,73.31,236.16
Bongabong,104.67,65.61,39.09,39.96,62.23,224.87
Bulalacao,129.21,44.4,22.34,11.74,35.6,194.42
Calapan City,158.47,82.06,50.01,70.53,81.34,175.33
Gloria,115.46,77.75,48.22,59.14,73.56,217.63
Mansalay,106.9,53.29,29.3,27.85,54.9,232.14
Naujan,169.9,79.24,49.3,71.68,80.46,201.85
Naujan Lake,206.72,76.77,55.96,65.16,67.35,174.64
Pinamalayan,125.32,77.54,47.9,58.23,69.97,203.41
Pola,183.44,77.71,45.35,54.73,59.8,182.6
Puerto Galera,140.96,54.18,18.66,45.41,68.12,212.85
Roxas,115.91,59.46,37.94,26.96,51.83,202.29
San Teodoro,146.77,72.8,31.19,68,83.6,232.1
Socorro,124.89,77.75,55.1,64.5,71.21,193.31
Victoria,161.39,79.19,56.43,72.48,81.21,198.72
Palawan,171.66,50.02,14.42,24.38,47.1,168.36
Aborlan,186.17,44.46,17.6,35.92,56.49,174.21
Agutaya,85,25.55,11.99,12.38,22.15,128.65
Araceli,136.29,23.34,9.73,18.96,43.2,146.58
Balabac,270.59,244.21,58.72,51.47,58.25,133.19
Bataraza,219.47,112.5,23.32,27.28,49.13,130.59
Brooke's Point,228.77,63.83,14.43,23.06,54.57,162.98
Busuanga,114.86,18.12,8.24,5.65,29.92,197.1
Cagayancillo,128.8,57.19,22.72,33.84,44.22,145.83
Coron,82.27,18.18,6.4,5.15,23.04,156.49
Culion,115.24,21.33,11.14,9.48,35.12,185.59
Cuyo,65.4,17.81,10.14,10.69,21.57,100.04
Dumaran,175.44,25.74,10.06,22.72,47.96,156.85
El Nido,168.06,27.72,7.42,14.81,36.34,221.02
Linapacan,142.6,24.14,7.51,11.4,25.94,165.85
Magsaysay,76.98,23.01,14.69,15.97,26.27,126.3
Narra,169.4,49.02,16.32,37.28,57.73,175.3
Puerto Princesa City,182.48,36.57,10.03,28.44,53.77,180.94
Quezon,186.99,52.54,15.29,30.3,59.56,177.71
Rizal,229.9,79.39,19.3,27.29,57.95,158.67
Roxas,179.66,27.66,9.07,28.87,55.2,163.91
San Vicente,213.73,29.17,8.26,32.04,60.22,191.5
Sofronio Espanola,197.23,63.02,22.27,42.96,65.69,151.71
Taytay,158.73,26.93,8.93,19.39,44.96,190.92
Pampanga,46.75,8.58,9.06,18.51,36.48,203.72
Angeles City,33.15,5.7,9.31,24.54,38.33,192.55
Apalit,63.04,11.89,10.84,18.91,36,196.55
Arayat,51.78,9.72,8.64,18.41,42.19,202.09
Bacolor,32.25,9.33,7,16.61,31.67,214.01
Candaba,64.78,18.77,17.24,25.84,45.24,192.33
Floridablanca,50.32,4.35,9.1,17.98,33.8,202.4
Guagua,36.75,7.94,5.74,12.76,27.97,214.4
Lubao,45.87,4.22,5.18,8.26,25.1,200.21
Mabalacat,34.49,5.75,8.54,24.06,45.19,231.21
Macabebe,67.52,6.41,6.24,11.51,27.07,199.05
Magalang,33.97,7.66,8.32,20.69,41.47,211.68
Masantol,67.14,4.93,5.04,7.19,24.05,195.73
Mexico,41.03,8.64,9.13,19.56,38.6,198.78
Minalin,52.1,10.6,7.32,15.99,30.29,208.15
Porac,35.5,4.66,8.32,21.19,37.49,200
San Fernando City,32.66,8.7,8.22,18.71,35.31,203.23
San Luis,62.17,14.26,13.58,22.51,42.32,196.58
San Simon,60.05,13.35,12.38,21.29,40.93,198.39
Santa Ana,49.05,11.01,11.4,19.34,42.3,193.23
Santa Rita,20.23,7.33,6.53,14.54,30.24,215.72
Santo Tomas,48.68,11.77,8.51,18.99,34.08,207.51
Sasmuan,63.13,5.35,5.22,7.85,24.71,203.03
Pangasinan,22.51,4.25,4.45,22.86,53.31,226.67
Agno,21.67,2.79,1.89,17.39,32.62,222.1
Aguilar,13.24,3.12,6,37.45,66.65,238.99
Alaminos City,25.19,2.73,1.83,18.04,32.26,216.99
Alcala,5.01,2.96,2.85,16.03,58.21,237.26
Anda,28.53,2.99,1.8,11.31,23.51,196.13
Asingan,5.94,4.33,3.97,21.93,61.29,222.43
Balungao,15.15,4.57,3.84,20.54,60.64,231.92
Bani,18.4,2.66,1.79,13.18,25.44,213.43
Basista,4.04,3.11,4.69,24.05,58.85,227.6
Bautista,8.14,2.99,3.39,17,56.14,246.69
Bayambang,6.75,3.14,4.77,23.1,57.83,241.74
Binalonan,23.01,4.41,3.74,24.44,64,231.98
Binmaley,13.08,2.7,3.58,19.2,48.6,208.19
Bolinao,22.69,2.82,1.74,8.8,20.31,204.24
Bugallon,11.32,2.58,2.55,25.29,52.02,231
Burgos,26.88,3.7,2.52,19.12,37.34,236.91
Calasiao,11.11,3.07,5.99,22.62,59.51,199.01
Dagupan City,17.32,2.77,4.34,19.82,48.58,207.71
Dasol,25.31,2.76,1.77,18.5,38.03,235.51
Infanta,18.64,2.61,1.96,21.54,44.73,245.41
Labrador,21.5,2.49,1.74,17.23,43.39,237
Laoac,4.49,3.11,2.92,20.78,51.78,221.26
Lingayen,15.79,2.66,2.42,19.36,45.2,212.72
Mabini,20.16,2.46,1.81,21.13,44.4,239.76
Malasiqui,4.1,3.08,4.31,19.21,57.87,219.38
Manaoag,9.29,3.18,4.83,22.75,51.68,211.04
Mangaldan,15.34,2.99,4.81,21.61,52.17,203.25
Mangatarem,26.78,3.89,11.09,46.78,81.94,255.25
Mapandan,5.76,3.16,5.39,21.48,53.94,205.86
Natividad,86.16,13.3,12.53,36.36,82.12,217.37
Pozzorubio,25.8,3.57,5.95,23.34,53.38,219.53
Rosales,14.4,3.68,3.15,18.75,60.65,237.5
San Carlos City,5.76,3.06,5.79,26,60.07,209.68
San Fabian,22.54,3.21,4.25,19.15,44.46,202.95
San Jacinto,17.02,3.22,5.71,21.73,51.35,207.82
San Manuel,35.27,6.6,5.11,24.73,71.68,240.03
San Nicolas,74.42,11.06,9.5,32.55,83.85,231.58
San Quintin,59.05,12.53,9.24,30.98,75.56,230.21
Santa Barbara,6.68,3.18,6.14,22.42,58.24,201.01
Santa Maria,6.69,5.37,4.6,21.95,62.65,222.36
Santo Tomas,6.88,2.94,2.55,17.66,61.29,232.1
Sison,44.44,5.28,4.37,21.91,66.88,244.9
Sual,22.17,2.45,1.71,17.96,38.17,225.93
Tayug,15.98,8.08,6.68,25.4,65.84,210.71
Umingan,43.46,11.16,9.07,28.07,62.12,228.35
Urbiztondo,5,3.35,7.24,33.9,65.37,235.28
Urdaneta City,4.8,3.19,3.27,19.64,56.49,224.39
Villasis,5.42,3.04,2.77,16.69,59.63,231.64
Quezon,376.91,135.34,92.22,108.06,75.64,145.97
Agdangan,347.61,115.8,80.24,74.97,65.24,143.12
Alabat,626.95,188.93,139.47,126.16,65.29,113.32
Atimonan,453.92,151.97,106.37,100.86,68.34,143.73
Buenavista,401.79,142.17,96.41,112.82,78.82,139.18
Burdeos,414.05,175.74,116.31,137.72,90.84,138.68
Calauag,515.68,156.15,113.99,127.99,76.74,124.85
Candelaria,228.57,70.59,44.87,53.67,49.49,145.2
Catanauan,327.36,115.37,78.85,90.35,67.6,131.17
Dolores,226.63,65.33,45.92,56.48,53.09,145.78
General Luna,397.23,137.31,95.89,107.52,76.72,132.13
General Nakar,304.89,145.82,94.69,133.02,108.37,199.4
Guinayangan,496.13,160.75,112.82,136.32,87.19,142.2
Gumaca,483.12,154.53,111.64,114.78,75.42,134.76
Hinunangan,440.25,487.59,239.37,243.98,154.23,128.17
Infanta,333.78,257.67,169.74,203.03,130.12,177.13
Jomalig,420.99,163.91,105.48,107.64,71.87,103.2
Lopez,463.05,151.98,108.64,123.74,85.22,137.54
Lucban,327.27,96.8,66.31,87.36,67.35,161.5
Lucena City,290.26,81.58,61.15,57.98,46.69,117.29
Macalelon,439.99,140.99,102.43,114.17,80.42,134.68
Mauban,395.71,121.61,81.86,102.82,68.07,147.12
Mulanay,281.25,93.8,58.47,75.18,52.36,128.01
Padre Burgos,381.59,134.35,91.56,83.53,64.97,146.43
Pagbilao,341.24,101.51,70.86,72.33,57.82,138.05
Panukulan,395.43,169.92,115.5,145.1,96.7,148.24
Patnanungan,437.42,166.85,113.45,126.47,82.93,125.8
Perez,543.34,157.47,116.1,113.06,64.13,122.71
Pitogo,430.21,143.99,104.09,110.22,77.46,134.39
Plaridel,528.59,167.49,125.35,112.57,67.4,128.77
Polillo,410.62,163.4,112.98,137.48,81.09,128.38
Quezon,601.22,177.92,131.55,121.55,67.07,120.36
Real,356.44,152.71,96.03,131.6,90.19,179.85
Sampaloc,367.36,108.79,78.39,100,68.87,152.29
San Andres,158.69,59.62,42.7,48.3,51.03,145.04
San Antonio,162.66,56.01,40.81,45.83,46.29,144.94
San Francisco,160.56,69.31,35.78,43.67,39.45,128.71
San Narciso,284.85,96.76,64.33,77.48,57.13,135.97
Sariaya,262.23,76.54,47.2,53.04,46.88,135.23
Tagkawayan,560.89,191.22,135.13,167.33,99.78,157.13
Tayabas City,332.89,90.61,62.48,73.97,58.26,149.91
Tiaong,184.22,59.97,42.26,47.54,45.25,144.33
Unisan,441.14,149.95,110.22,106.67,71.6,132.8
Quirino,225.13,84.2,75.45,121.25,110.44,222.69
Aglipay,187.63,75.05,67.93,114.59,97.43,200.81
