Prov/Muni,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019
Talibon,249.88,220.49,137.76,124.29,70.19,93.67
Trinidad,239.92,209.7,136.06,130.75,74.65,96.86
Tubigon,162.63,128.82,83.89,89.93,54.07,93.37
Ubay,255.6,238.92,148.38,131.7,79.85,94.38
Valencia,197.61,159.57,85.72,110.12,48.43,96.68
Bukidnon,213.85,168.7,155.58,188.23,156.87,257.89
Baungon,181.04,121.38,113.65,142.94,114.37,226.88
Cabanglasan,247.01,240.58,201.35,230.61,175.72,264.24
Damulog,176.22,158.24,140.54,181.73,184.61,280.73
Dangcagan,180.47,164.36,150.94,191.78,186.47,271.58
Don Carlos,168.42,158.63,149.12,179,186.42,268.01
Impasug-Ong,280.58,229.03,187.71,214.71,142.93,235.62
Kadingilan,187.32,149.28,144.8,186.33,186.55,284.6
Kalilangan,202.39,140.39,145.03,184.54,182.95,286.36
Kibawe,188.25,164.96,154.37,192.84,188.01,280.83
Kitaotao,188.53,170.72,160.9,194.87,186.66,273.72
Lantapan,184.08,133.49,143.14,171.57,132.79,263.35
Libona,175.88,113.12,100.43,135.05,108.01,218.6
Malaybalay City,233.09,201.82,176.81,203.47,150.74,261.71
Malitbog,255.45,204.53,163.81,193.69,114.46,191
Manolo Fortich,208.91,143.33,119.65,155.44,104.95,218.73
Maramag,164.71,160.01,150.63,179.85,172.01,264.81
Pangantucan,207.53,141.63,147.79,185.88,181.54,284.57
Quezon,215.57,185.75,175.97,205.54,179.27,263.39
San Fernando,249.08,223.5,203.48,235.32,191.43,264.06
Sumilao,203.27,137.24,134.01,168.22,120.57,252.75
Talakag,228.93,128.9,132.56,170.99,155.73,271.08
Valencia City,197.24,165.63,160.33,189.97,157.87,264.58
Bulacan,122.69,31.58,23.97,36.51,50.74,200.3
Angat,113.1,27.59,21.94,33.75,52.93,221.99
Balagtas,88.69,16.84,12.38,19.53,32.72,196.97
Baliuag,77.12,18.09,16.57,24.28,44.76,197.1
Bocaue,92.79,16.62,12.25,19.94,31.79,195.38
Bulacan,70.43,8.73,6.28,11.98,20.06,145.31
Bustos,79.02,20.93,17.08,26.1,43.6,207.03
Calumpit,60.18,7.88,7.6,13.94,30.61,195.65
Dona Remedios Trinidad,208.5,62.9,45.95,68.45,80.64,211.31
Guiguinto,86.67,14.89,11.71,18.98,34.1,197.85
Hagonoy,65.43,5.45,5.11,7.93,25.6,189.48
Malolos City,74.93,10.26,7.62,13.74,28.98,192.09
Marilao,86.28,17.31,12.46,21.97,29.61,186.56
Meycauayan City,79.16,16.89,12.16,22.14,27.72,178.93
Norzagaray,204.3,54.58,38.96,60.03,72.99,219.96
Obando,44.07,9.1,4.93,11.67,17.04,130.94
Pandi,81.45,20.9,15.71,24.14,40.82,211.42
Paombong,67.5,5.66,4.76,7.85,26.56,187.89
Plaridel,65.59,15.42,13.08,21.11,38.06,197.09
Pulilan,67.88,14.35,12.72,20.53,38.18,195.34
San Ildefonso,117.92,34.15,28.92,38.45,56.51,202.58
San Jose del Monte City,153.99,35.95,26.51,43.63,54.9,212.65
San Miguel,109.34,33.68,26.45,38.7,54.46,198.2
San Rafael,108.13,29.13,24.53,33.43,52.95,207.69
Santa Maria,99.63,22.15,17.08,27.96,40.05,210.71
Cagayan,206.53,73.2,38.54,57.15,50.72,133.11
Abulug,174.29,80.16,38.84,70.8,47.54,115.23
Alcala,138.43,46.99,22.1,36.93,48.21,120.51
Allacapan,163.11,83.47,46.78,52.75,42.62,113.84
Amulung,167.65,58.45,29.67,46.5,46.34,132.36
Aparri,178.79,96.75,49.12,55.68,31.49,105.71
Baggao,291.06,83.17,47.35,59.81,55.82,130.42
Ballesteros,193.82,108.34,52.17,59.4,36.91,112.73
Buguey,249.74,100.93,46.24,51.06,40.38,96.51
Calayan,134.5,89.29,58.71,55.05,32,138.84
Camalaniugan,231.78,115.18,56.22,52.33,35.09,105.94
Claveria,133.38,42.61,26.51,141.21,87.15,157.73
Enrile,105,39.97,16.58,35.44,38.77,133.77
Gattaran,250.68,73.89,37.35,52.42,53.87,115.28
Gonzaga,300.93,100.54,41.61,61.03,53.99,125.33
Iguig,165.53,54.02,27.01,44.69,42.36,130.37
Lal-Lo,262.7,85.99,42.9,55.54,50.91,122.54
Lasam,106.91,33.08,17.75,29.73,53.01,95.21
Pamplona,174.31,62.89,33.24,84.94,58.66,134.92
Penablanca,334.13,81.06,51.51,57.66,61.46,160.07
Piat,121.22,44.37,21.68,41.49,50.59,166.53
Rizal,144.33,42.01,23.24,43.32,60.09,202.65
Sanchez-Mira,151.3,50.73,29.09,113.81,72.8,141.46
Santa Ana,274.81,109.09,42.21,60.19,49.16,113.63
Santa Praxedes,114.58,34.46,24.28,123.84,89.41,183.04
Santa Teresita,261.29,92.58,41.21,53.16,43.92,97.43
Santo Nino,130.29,39.1,19.48,36.21,55.56,149.33
Solana,116.48,45.41,21.39,40.76,43,144.75
Tuao,119.87,40.36,21.1,40.7,50.38,170.37
Tuguegarao City,134.2,44.1,19.2,37.75,38.13,127.99
Camarines Norte,582.16,244.76,162.38,193.61,113.12,151.93
Basud,591.81,286.59,185.58,218.21,127.22,166.38
Capalonga,561.04,188.4,127.22,163.51,89.72,130.07
Daet,629.73,315.89,209.64,233.2,143.08,155.74
Jose Panganiban,557.84,207.06,139.75,174.05,98.77,133.97
Labo,611.92,237.76,164.57,206.41,117.13,160.39
Mercedes,568.38,276.53,166.93,191.04,118.45,154.7
Paracale,626,260.36,168.94,201.14,116.82,155.38
San Lorenzo Ruiz,630.12,305.02,208.91,244.05,141.15,182.99
San Vicente,640.4,310.05,209.24,248.56,146.33,193.27
Santa Elena,560.83,171.8,121.4,157.45,85.12,133.74
Talisay,628.76,311.01,203.59,227.98,139.41,152.97
Vinzons,483.69,216.71,139.12,146.56,94.39,134.37
Camarines Sur,443.52,205.73,133.52,143.02,96.95,164.75
Baao,384.92,184.21,125.05,122.41,96.97,177.84
Balatan,392.18,176.43,118.74,109.65,87.33,189.11
Bato,401.51,187,124.95,115.27,94.85,183.79
Bato Lake,403.61,186.77,126.42,115.55,94.67,181.86
Bombon,409.14,165.43,115.53,114.66,80.74,144.34
Buhi,450.84,230.32,150.07,160.76,121.54,210.59
Buhi Lake,459.48,224.46,144.08,156.67,118.12,208.71
Bula,350.47,150.32,106.48,97.68,87.71,182.75
Cabusao,440.32,191.25,129.15,133.49,83.95,137.35
Calabanga,438.1,187.82,119.16,137.2,90.56,166.48
Camaligan,364.85,141.81,103.6,97.13,77.24,143.11
Canaman,375.83,147.58,106.14,100.37,77.81,143.05
Caramoan,481.23,273.85,163.86,168.24,105.32,149.14
Del Gallego,575.5,218.85,149.71,183.47,109.31,172.22
Gainza,355.66,145.01,106.32,98.9,78.3,145.48
Garchitorena,462.01,248.02,145.4,158.32,100.11,144.9
Goa,457.05,225.4,141.99,163.31,108.01,176.46
Iriga City,415.52,198.22,129.3,131.41,99.54,180.97
